rank,code,market,tech_score,fund_score,buffett_score,total_score,rsi,roe,net_profit,close,date
36,300456,创业板,0,6,7,13,,0.2527,1473000000.0,57.55,2026-04-22
37,000987,主板A股,4,5,4,13,35.1693,0.1125999999999999,3519000000.0,8.03,2026-04-03
38,001376,主板A股,4,4,5,13,32.7426,0.1165,132000000.0,14.65,2026-04-03
39,000915,主板A股,3,5,5,13,41.5465,0.1379,408000000.0,31.17,2026-04-03
40,001359,主板A股,1,5,6,12,46.3384,0.1055,201000000.0,71.36,2026-04-03
41,002517,中小板,0,6,6,12,,0.2078,1583000000.0,17.46,2026-04-22
42,001229,主板A股,4,3,5,12,39.0356,0.0405,40195400.0,35.5,2026-04-03
43,301345,创业板,0,6,6,12,,0.2403,816000000.0,239.59,2026-04-17
44,002270,中小板,0,6,6,12,,0.2203999999999999,710000000.0,28.21,2026-04-22
45,001369,主板A股,4,3,5,12,39.9388,0.0843,404000000.0,14.69,2026-04-03
46,600989,主板A股,0,6,6,12,,0.2484,11350000000.0,27.75,2026-04-17
47,300476,创业板,0,6,6,12,,0.3556,4312000000.0,342.78,2026-04-22
48,002947,中小板,0,5,7,12,,0.1702,532000000.0,72.82,2026-04-21
49,300693,创业板,0,6,6,12,,0.2415,476000000.0,50.94,2026-04-22
50,600938,主板A股,0,5,7,12,,0.1564,122082000000.0,37.34,2026-04-17
51,001391,主板A股,5,3,4,12,27.5616,0.1001,2585000000.0,5.2,2026-04-03
52,300492,创业板,0,6,6,12,,0.7757,249000000.00000003,53.65,2026-04-22
53,000962,主板A股,4,3,5,12,37.1134,0.0962,258000000.0,40.51,2026-04-03
54,001233,主板A股,1,5,6,12,42.5444,0.177,462000000.0,64.41,2026-04-03
55,601717,主板A股,0,4,8,12,,0.1888,4293000000.0,19.94,2026-04-17
56,000902,主板A股,3,4,5,12,35.7195,0.1236999999999999,1374000000.0,15.34,2026-04-03
57,300308,创业板,0,5,7,12,,0.1754,5735000000.0,886.62,2026-04-22
58,688188,科创板,0,5,7,12,,0.1926,1113000000.0,140.9,2026-04-21
59,300033,创业板,0,6,6,12,,0.3853999999999999,3204999999.9999995,246.74,2026-04-22
60,002595,中小板,0,6,6,12,,0.218,2393000000.0,88.2,2026-04-21
61,603486,主板A股,0,5,7,12,,0.182,1418000000.0,62.45,2026-04-17
62,688809,科创板,0,6,6,12,,0.2002,250000000.0,437.0,2026-04-22
63,603699,主板A股,0,6,6,12,,0.3445,1601000000.0000002,51.2,2026-04-17
64,001289,主板A股,5,4,3,12,31.644,0.0608,4526000000.0,15.58,2026-04-03
65,300910,创业板,0,6,6,12,,0.2098999999999999,736000000.0,44.98,2026-04-22
66,000430,主板A股,0,5,7,12,,0.6914,306000000.0,7.87,2026-04-22
67,001288,主板A股,3,3,6,12,30.3449,0.0816,196000000.0,27.69,2026-04-03
68,002027,中小板,0,5,7,12,,0.2373999999999999,4240000000.0,6.26,2026-04-22
69,002372,中小板,0,5,7,12,,0.149,741000000.0,10.44,2026-04-22
70,600563,主板A股,0,6,6,12,,0.2148999999999999,1192000000.0,127.34,2026-04-17
71,603207,主板A股,0,5,7,12,,0.1415,170000000.0,27.88,2026-04-17
72,000988,主板A股,4,4,4,12,48.1713,0.1397,1471000000.0,103.54,2026-04-03
73,002690,中小板,0,6,6,12,,0.2605,719000000.0,18.14,2026-04-21
74,300604,创业板,0,6,6,12,,0.2296,865000000.0,152.3,2026-04-22
75,000923,主板A股,3,4,5,12,31.1393,0.054,538000000.0,17.75,2026-04-03
76,301696,创业板,0,6,6,12,,0.4403,421000000.0,105.28,2026-04-17
77,001323,主板A股,3,5,4,12,37.2713,0.1012,467000000.0,24.18,2026-04-03
78,605098,主板A股,0,6,6,12,,0.3104,320000000.0,63.83,2026-04-17
79,000848,主板A股,1,5,6,12,39.0648,0.11,384000000.0,7.92,2026-04-03
80,001388,主板A股,5,3,4,12,28.0747,0.07,70560100.0,37.38,2026-04-03
81,001220,主板A股,4,4,4,12,34.3207,0.1242,109000000.0,38.82,2026-04-03
82,603929,主板A股,0,5,7,12,,0.4355,892000000.0,186.63,2026-04-17
83,603501,主板A股,0,5,7,12,,0.1539,4045000000.000001,93.04,2026-04-17
84,001389,主板A股,1,6,5,12,54.8633,0.2924,1016000000.0,116.9,2026-04-03
85,300641,创业板,0,6,6,12,,0.22,675000000.0,19.82,2026-04-22
86,300979,创业板,0,4,8,12,,0.1896999999999999,3207000000.0,42.57,2026-04-22
87,603530,主板A股,0,6,6,12,,0.2428,432000000.0,62.15,2026-04-17
88,002463,中小板,0,6,6,12,,0.2857,3822000000.0,103.27,2026-04-22
89,603025,主板A股,0,6,6,12,,0.2855999999999999,710000000.0,15.35,2026-04-17
90,301061,创业板,0,5,7,12,,0.1705,658000000.0,73.86,2026-04-21
91,000899,主板A股,4,4,4,12,41.9576,0.1432,871000000.0000001,12.24,2026-04-03
92,002052,中小板,0,5,7,12,,0.9978,180000000.0,10.26,2026-04-22
93,600329,主板A股,0,6,6,12,,0.2557,2131000000.0,40.7,2026-04-17
94,605099,主板A股,0,5,7,12,,0.1784,515000000.00000006,40.21,2026-04-17
95,002847,中小板,0,6,6,12,,0.3682,748000000.0,54.87,2026-04-21
96,688629,科创板,0,6,6,12,,0.2183,359000000.0,134.0,2026-04-22
97,001328,主板A股,4,4,4,12,33.374,0.0919,136000000.0,31.6,2026-04-03
98,605305,主板A股,0,5,7,12,,0.1911,530000000.0,44.22,2026-04-17
99,603288,主板A股,0,5,7,12,,0.1959,7038000000.0,39.94,2026-04-17
100,300487,创业板,0,5,7,12,,0.1571,652000000.0,65.67,2026-04-22
101,002647,中小板,0,6,6,12,,1.1031,360000000.0,12.07,2026-04-21
102,603444,主板A股,0,6,6,12,,0.3327,1794000000.0000002,382.98,2026-04-17
103,000752,主板A股,0,6,6,12,,0.6892,145000000.0,9.97,2026-04-22
104,600841,主板A股,0,5,7,12,,0.5803,2872000000.0,9.58,2026-04-17
105,300573,创业板,0,6,6,12,,0.3854999999999999,696000000.0,68.55,2026-04-22
106,300502,创业板,0,6,6,12,,0.552,6327000000.0,622.71,2026-04-22
